visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
4569DD,698851,0,Septic,Hardy (2019 Foal Of Sugar),15-Mar-19,24-Mar-19,9.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,51.4,72,1) Ruptured Bladder 2) Uroperitoneum - Secondary to 1) 3) Post Renal Azotemia - Secondary to 1) 4) Urachitis,,,,BAR,100.2,120,64,3,1,1,Staphylococcus aur. ss aureus,>800,10.47,14.30,39.10,37.30,13.70,36.60,18.00,,Slight,Rare,Rare,Rare,,,,,,,5730.00,,,,4240.00,,917.00,458.00,57.00,57.00,144.00,,,6.20,200.00,0.1250,131.00,1.40,3
73778EM,688737,9,SNS,Almond Blossom 16 Filly,13-Apr-16,15-Apr-16,2.00,ALIVE,Survivor,EQ-MIX/DRAFT,F,50,2.5,1) Hypoxic Ischemic Encephalopathy,No,No,325,BAR,99.7,104,28,2,2,,,400-800,9.10,13.00,38.00,41.80,14.30,34.20,18.50,,Slight,Few,,,,,,,,,6040.00,,,,3745.00,,2174.00,121.00,,,218.00,,,5.50,200.00,0.0849,80.00,7.50,3
4158DE,699171,11,SNS,Mimi,25-May-19,2-Jun-19,8.00,ALIVE,Survivor,EQ-HAFLINGER,F,37,120,"1) Diarrhea, C. perfringens Type A (alpha/beta2 toxin positive). 2) Suspected sepsis. 3) Mild neonatal maladjustment syndrome, resolved. 4) Azotemia, resolved. 5) Failure of transfer of passive immunity, resolved.",No,No ,353,QAR,102.1,148,36,2,1,2,No Growth,>800,8.07,11.30,32.70,40.50,14.00,34.60,19.40,,Slight,Many,Rare,Moderate,,,,,,,3750.00,,38.00,,2588.00,,975.00,150.00,0.00,0.00,229.00,,,6.10,500.00,0.0847,146.00,3.20,3
3367BZ,676489,24,Septic,Mansoor Nadir,24-May-12,29-May-12,5.00,ALIVE,Survivor,EQ-FRIESIAN,M,,32,1) diarrhea positive for C diff and c perfringens 2) aspiration pneumonia,Yes,,,Depressed,101.3,140,48,2+,1,2,NO GROWTH,,10.11,14.40,40.50,40.10,14.20,35.60,18.20,,Slight,Few,,,,,,,,,4020.00,,884.00,MODERATE TOXICITY,1809.00,MODERATE TOXICITY,683.00,643.00,0.00,0.00,274.00,,,5.70,400.00,0.0664,57.00,10.90,3
6034DM,842682,0,SNS,Bellini's Filly,19-Apr-21,21-Apr-21,2.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,48,0,1) Mild dysphagia secondary to pharyngeal weakness - resolved 2) Minimal to mild pneumonia - resolving 3) Mild hind right fetlock laxity - resolving,No,No,331,BAR,100.4,84,40,2,2,,,>800,9.68,12.70,37.90,39.20,13.10,33.50,18.70,,slight,many,,,,,,,,,8450.00,,,,7290.00,,1030.00,110.00,10.00,20.00,290.00,no,,6.70,100.00,0.0645,168.00,1.40,3
75770EM,689522,1,SNS,Jess Like Vegas's Colt 2017,15-Feb-17,21-Feb-17,6.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,1,1) Umbilical Hematoma 2) Mild pleural effusion; etiology unknown. 3) Grade II systolic heart murmur 4) Mild bilateral carpal contracture,No,No,340,BAR,,72,80,,,,,>800,9.29,13.30,39.60,42.60,14.30,33.60,18.40,,Slight,Few,,,,,,,,,11180.00,,,,8888.00,,2247.00,11.00,22.00,11.00,169.00,,,5.80,200.00,0.1089,,,3.1
9452CQ,690529,14,Septic,Robin's Foal,2-Jun-16,2-Jun-16,0.00,EUTH,Non-Survivor,EQ-AMERICAN PAINT HORSE,M,,3,"1) Post-mature Neonatal foal - hypovolemia, dehydration, hypoglycemia, suspect septicemia",Yes,No,396,QAR,97.1,172,30,,2,,,,7.86,10.60,33.30,42.40,13.50,31.80,19.30,,Slight,,,,,,,,,,8880.00,,Rare,Slight,7379.00,,1430.00,53.00,18.00,0.00,193.00,,,3.80,200.00,0.1000,34.00,14.10,3.1
9353CY,695629,20,Septic,She's An I Full Filly,21-Mar-18,25-Mar-18,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,51.8,8,1) HIE,Yes,,,Dull,95.4,124,40,3,2,,,800,9.71,15.50,46.20,47.60,16.00,33.50,17.00,,Slight,,,,,,,,,,6830.00,,820.00,,4849.00,,820.00,342.00,0.00,0.00,171.00,,,6.40,400.00,0.0994,36.00,12.50,3.1
8780DM,842584,5,SNS,Spark's Foal,6-May-21,8-May-21,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,44.6,12,1) Neonatal maladjustment syndrome- Resolved 2) Carpal contracture- improved,,,,BAR,101.1,132,60,2,2,,,<400,10.85,15.00,46.10,42.50,13.80,32.40,19.40,,slight,,,,,,,,,,10530.00,,,,8090.00,,2080.00,320.00,10.00,40.00,184.00,no,,4.50,300.00,0.1054,98.00,3.30,3.3
6392DD,699948,4,SNS,Catlike X Dual Ray Badger 2019,31-Mar-19,6-Apr-19,6.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,50,3,"1) Neonatal encephalopathy, resolved. 2) Mild urachitis with urine pooling (urachal cyst).",No,,,BAR,99.7,140,60,2,1,2,No Growth,400-800,9.72,13.40,40.10,41.30,13.80,33.40,17.90,,Slight,Moderate,,,,,,,,,7190.00,,,,6493.00,,597.00,72.00,7.00,22.00,222.00,,,4.10,200.00,0.0806,179.00,2.90,3.3
62943EM,674620,16,Septic,Vienna '12 Colt,30-Mar-12,1-Apr-12,2.00,DIED,Non-Survivor,EQ-DUTCH WARMBLOOD,M,67.2,24,"1) EHV-1, Equine herpes non-neurotropic",Yes,,,BAR,100.2,80,72,3,1,2,NO GROWTH,2100,8.11,11.00,29.70,36.60,13.60,37.00,18.00,,Slight,,,,,,,,,,2000.00,,350.00,SLIGHT TOXICITY MODERATE TOXICITY,1118.00,SLIGHT TOXICITY FEW MODERATE TOXICITY,839.00,23.00,0.00,0.00,70.00,,,5.20,200.00,0.2571,160.00,3.70,3.4
1978DI,838009,14,Septic,Peekan's Colt,11-Mar-20,14-Mar-20,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,39.2,0,,No,,Unk,QAR / Obtunded,101.4,100,28,3,2,,,< 400,11.87,15.00,46.50,39.20,12.60,32.30,19.90,,Slight,Few,,,,,,,,,10810.00,,,,9189.00,,1265.00,303.00,32.00,22.00,195.00,No,,7.60,400.00,0.1021,155.00,9.10,3.4
4175BZ,675693,14,Septic,Chesnut '12 Foal,2-Jun-12,7-Jun-12,5.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,24,1) HIE 2) FPT 3) Seizures 4) corneal ulceration,,No,,"Down, seizing",101.4,120,40,<1,2,,,400-800,10.23,14.50,41.00,40.10,14.20,35.40,18.30,,Slight,Many,,,,Slight,,,,,9400.00,,2162.00,"SLIGHT TOXIC, FEW MODERATE",6298.00,FEW SLIGHT TOXIC,564.00,376.00,0.00,0.00,274.00,,,5.40,300.00,0.0668,204.00,27.00,3.4
53570FS,678948,3,SNS,Investment Rose 13 Filly (4293c),17-Feb-13,17-Feb-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,3.5,1) Premature placental separation. 2) Mild HIE/maladjusted foal.,Yes,,,BARH,100,132,36,2,2,,,>800,10.73,14.60,38.90,36.30,13.60,37.50,18.80,,Slight,,,,,,,,,,6260.00,,,,5071.00,,908.00,238.00,38.00,6.00,296.00,,,4.40,200.00,0.0635,80.00,,3.4
62726EM,674627,15,Septic,Bandango Foal 2012,8-Mar-12,15-Mar-12,7.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,59,48,"1) Sepsis - resolved 2) Meconium impaction - resolved 3) Fractured 4th rib on the left side, minimally displaced - stable 4) Neurogenic bladder - resolved 5) Cystitis - improving 6) Multiple angular limb deformities",,,,,103.9,200,100,3,1,2,NO GROWTH,>800,6.95,10.40,28.00,40.30,15.00,37.10,17.90,,Slight,,,,,,,,,,9690.00,,,,8740.00,FEW SLIGHT TOXICITY,727.00,213.00,0.00,0.00,143.00,,,5.40,400.00,0.1252,172.00,9.20,3.5
73530EM,687982,8,Septic,No Name Foal,27-Feb-16,27-Feb-16,0.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,F,46.4,8,1) Presumptive HIE and Sepsis 2) Failure of passive transfer,Yes,,,BAR,93.2,52,40,,1,1,"LARGE NUMBERS GRAM VARIABLE RODS. CULTURE: BACILLUS SP.-LIKE, 2 TYPES PANTOEA SP.(PANTOEA AGGLOMERANS AND PANTOEA ANANATIS BY MALDI-TOF) AND COAGULASE NEGATIVE STAPH(STAPHYLOCOCCUS EQUORUM BY MALDI-TOF). LACTOBACILLUS SP.-LIKE ON DAY 5 SUBCULTURE.   SMALL NUMBERS GRAM (+) COCCOBACILLI. CULTURE: CORYNEBACTERIUM SP. AND COAGULASE NEGATIVE STAPH(STAPHYLOCOCCUS EQUORUM BY MALDI-TOF)",,7.99,11.40,33.60,42.10,14.30,33.90,18.20,,Slight,,,,,,,,,,5930.00,,,,4667.00,,1162.00,77.00,12.00,6.00,154.00,,,5.60,200.00,0.1182,109.00,8.80,3.6
79358EM,695925,6,SNS,Two Punch Gal '18,9-May-18,14-May-18,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,69.2,1,1) Born by Cesarean Section,Yes,,,BAR,101,110,34,1,2,,,>800,9.13,10.40,27.90,30.60,11.40,37.30,24.10,,,,,,,,,,,,11980.00,,,,5580.00,,4050.00,231.00,3.00,0.00,245.00,,,3.98,,0.0984,127.00,9.00,3.6
78782EM,695504,12,Septic,Marmaris' Foal,15-Mar-18,21-Mar-18,6.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,61,0,1) Failure of passive transfer of immunity 2) Vasomotor nephropathy (resolved),Yes,No,337,BAR,98.6,96,40,3,2,,,400,9.21,13.70,41.20,44.70,14.90,33.30,18.20,,Slight,,,,,,,,,,11520.00,,230.00,,9216.00,,1613.00,461.00,0.00,0.00,306.00,,,4.60,300.00,0.0595,142.00,5.00,3.6
63594EM,676502,12,Septic,Ares (Amela's 2012 Foal),30-May-12,11-Jun-12,12.00,ALIVE,Survivor,EQ-AKHAL TEKE,M,54,10,"1) Dystocia foal 2) Hypoxic ischemic brain, kidney, muscle, liver injury 3) Acute Renal Failure, anuric initially, followed by oliguric",Yes,No,360,BAR,98.1,164,32,1-2s,2,,,<400,7.25,9.20,25.20,34.80,12.70,36.50,18.10,,Slight,,,,,,,Moderate,,,7890.00,,,,6486.00,,1302.00,95.00,8.00,8.00,195.00,,,4.60,200.00,0.0928,106.00,10.60,3.7
78686EM,694649,12,Septic,Heirloom Rose Filly,5-Mar-18,7-Mar-18,2.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,51.8,14,1) Hypoxic ischemic encephalopathy 2) Sepsis 3) Pneumonia,,,,QAR ,96.8,84,36,3,2,,,>800,7.26,10.10,28.60,39.40,13.90,35.30,18.80,,Slight,Rare,Rare,,,,,,,,2070.00,,435.00,,849.00,,766.00,21.00,0.00,0.00,146.00,,,5.50,400.00,0.1288,205.00,4.00,3.8
6396DD,699940,6,SNS,Foal Of Bama S,31-Mar-19,4-Apr-19,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,44,12,"1) Dysmature 2) Flexor tendon laxity (BF, RH) 3) Mild carpal contracture 4) Mild left hind fetlock/pastern and tarsal varus 5) Moderate right fetlock/pastern valgus 6) Mild lumbar kyphosis 7) Exostosis, RF MC II 8) Aspiration pneumonia 9) Failure of transfer of passive immunity, resolved 10) Neonatal encephalopathy, resolved",No,,,BAR,101.7,148,80,2,1,2,No Growth,400,10.46,15.60,44.70,42.70,14.90,34.90,18.10,,Slight,Moderate,Few,Rare,,,Rare,,,,10900.00,,,,9461.00,,1275.00,131.00,22.00,11.00,277.00,,,5.40,400.00,0.0653,106.00,3.00,3.8
4760CP,688292,19,Septic,Deputy Miss 2016 Colt,12-Feb-16,13-Feb-16,1.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,M,,24,1) Presumptive HIE 2) Suspected sepsis 3) Aspiration pneumonia,Yes,,,QAR,98.9,100,40,2,2,,No Growth,,7.08,8.70,26.10,36.90,12.30,33.30,19.00,,Slight,,,,,,,,,,5560.00,,222.00,Slight,3558.00,Few Slight,1446.00,334.00,,,185.00,,,5.60,300.00,0.1027,47.00,11.90,3.9
76056EM,692920,12,Septic,Louie,28-Mar-17,5-Apr-17,8.00,ALIVE,Survivor,EQ-HANOVERIAN,M,41.4,6,"1) Premature placental separation 2) Hypoxic-Ischemic Encephalopathy, 2ry to 1) 3) Meconium impaction 4) Partial Failure of Passive Transfer 5) Hypoplastic soft palate 6) Mild-moderate bilateral carpal contracture 7) Grade 2/4 squamous gastric ulceration",Yes,No,338,"Dull, recumbent",98.9,88,64,2,1,2,No Growth,,9.15,14.90,43.20,47.20,16.30,34.50,18.20,,Slight,Rare,,,,,,,,,10030.00,,,,9497.00,,1357.00,143.00,22.00,11.00,217.00,,,4.80,400.00,0.0839,75.00,2.60,3.9
4749BY,674573,9,SNS,Cookie,3-Mar-12,6-Mar-12,3.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,50.4,0,"1) post-dystocia foal (delivered via assisted vaginal delivery) 2) MIld HIE (clinical 3) Azotemia 4) Increased CK, SDH - suspect multiorgan hypoxia associated with dystocia",Yes,No,328,BAR,101.5,108,,1-2s,2,,,>800,10.25,15.50,44.10,43.00,15.10,35.10,17.10,,Slight,Moderate,,,,,,,,,5880.00,,,,4045.00,,1641.00,159.00,6.00,24.00,203.00,,,4.70,200.00,0.0842,101.00,3.20,4.2
1521CZ,695794,24,Septic,Aura Foal,6-Apr-18,6-Apr-18,0.00,DIED,Non-Survivor,EQ-WARMBLOOD,M,,,1) Premature,Yes,Yes,300,Stuporous,99.7,160,20,3,1,2,No Growth,,8.47,13.40,45.80,54.10,15.80,29.30,17.90,,Slight,Many,Rare,,,,,,,,7010.00,,,,393.00,,6547.00,28.00,35.00,14.00,199.00,,,4.20,200.00,0.0899,30.00,11.50,4.4
4936DN,842947,14,Septic,Mae's 2021 Foal,20-Jun-21,24-Jul-21,24.00,ALIVE,Survivor,EQ-WARMBLOOD,M,105,36,1) Hypoxic ishemic encephalopathy 2) Clostridium perfringens positive 3) Sepsis - resolving 4) Patent urachus - resolving 5) Kidney cysts - resolving,No,,,"Quiet, depressed, intermittently responsive",101.5,240,72,2,2,,,,5.02,7.60,22.40,44.60,15.10,33.90,19.50,,slight,,,,,,,,,,2270.00,,114.00,"SLIGHT TOXICITY, few MODERATE TOXICITY",477.00,,999.00,681.00,0.00,0.00,133.00,no,,5.60,300.00,0.1466,190.00,8.90,4.5
75910EM,690564,13,Septic,Gracious Girl Foal 2017,8-Mar-17,22-Mar-17,14.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,54,4,1) Emergency Caesarean section birth,Yes,No,335,,100.5,,,,1,2,no growth,<400,9.20,13.40,40.70,44.20,14.60,32.90,18.00,,slight,,rare,,,,,,,,6170.00,,,,3542.00,,2505.00,99.00,19.00,12.00,193.00,no,,4.40,200.00,0.0933,69.00,3.20,4.5
2291BZ,675543,18,Septic,Friesian Colt,15-May-12,27-May-12,12.00,ALIVE,Survivor,EQ-FRIESIAN,M,40,11,1) Prematurity 2) Hypoxic-ischemic encephalopathy 3) High sepsis risk,,Yes,295,Obtunded,101.6,120,24,3+,2,,,400-800,7.14,11.00,31.50,44.10,15.40,34.90,18.30,,Slight,Moderate,,,,,,,,,2220.00,,,,1503.00,,679.00,33.00,4.00,2.00,244.00,,,5.50,200.00,0.0750,31.00,7.50,4.5
1897CU,692828,12,Septic,Smarty Corn 2017 Foal,2-Mar-17,4-Mar-17,2.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,47,10,1) Hypoxic ischemic encephalopathy. 2) Right thrombophlebitis.,Yes,,,QAR,100.5,110,40,2,1,2,No Growth,,8.12,12.30,36.20,44.60,15.10,34.00,17.00,,Slight,,,,,,,,,,6620.00,,,,4700.00,,1523.00,397.00,0.00,0.00,266.00,,,5.80,300.00,0.0639,102.00,2.40,4.5
8197CD,680302,16,Septic,Genie,3-Jul-13,3-Jul-13,0.00,DIED,Non-Survivor,EQ-AMERICAN MINIATURE,F,8.6,7,"1) Septicemia, SIRS/MODS 2) Rule out EHV-1 (test will be TA'd by Dr. Pusterla)",,,,Stuporous,99.8,124-136,48,>3,1,1,"DIRECT SMEAR: MODERATE NUMBERS GRAM VARIABLE RODS AND SMALL NUMBERS GRAM (+) COCCI. CULTURE: LARGE NUMBERS E. COLI., DIRECT SMEAR: VERY SMALL NUMBERS GRAM VARIABLE RODS. CULTURE: LARGE NUMBERS ACTINOBACILLUS LIGNIERESII AND ACTINOBACILLUS EQUULI SS HEMOLYTICUS BV1.",,10.87,17.80,48.40,44.50,16.40,36.80,17.10,,Slight,,,,,,,,,,2680.00,,214.00,SLIGHT TOXIC,1796.00,,536.00,134.00,0.00,0.00,250.00,,,5.10,300.00,0.0684,27.00,9.20,4.6
3975DI,838420,18,Septic,Rindys Foal 2020,20-Apr-20,23-Apr-20,3.00,DIED,Non-Survivor,EQ-QUARTER HORSE,F,50,6,1) Hypoxic ischemic encephalopathy (HIE) 2) Failure of transfer of passive immunity,Yes,No,326,QAR / Obtunded,102.2,100,120,4,1,2,No Growth,,10.91,15.00,46.60,42.70,13.70,32.20,19.10,,Slight,Many,,,,,,,,,15260.00,,,,13032.00,,1831.00,320.00,15.00,61.00,287.00,No,,4.80,300.00,0.0666,180.00,14.20,4.7
2096CR,690499,22,Septic,Baby Angel,21-Jun-16,7-Jul-16,16.00,DIED,Non-Survivor,EQ-AMERICAN MINIATURE,F,8.4,48,"1) Septic shock (multi-drug resistant E. coli). 2) Multifocal septic arthritis. 3) Bronchopneumonia. 4) Acute renal injury. 5) Collapse (r/o seizure vs narcolepsy). 6) Ulcerative keratitis, OD.",,,,Obtunded and unresponsive,101.3,200,80,>2,1,2,No Growth,>800,11.29,16.00,49.70,44.00,14.20,32.20,17.90,,Slight,,,,,,,,,,2600.00,,312.00,MODERATE TOXICITY,1274.00,FEW SLIGHT TOXICITY,832.00,182.00,,,48.00,,,6.70,300.00,0.3729,177.00,14.00,5.1
8353CQ,689398,3,SNS,Ollie,24-May-16,3-Jun-16,10.00,ALIVE,Survivor,EQ-WARMBLOOD,M,65.8,14.5,1) Subcutaneous urachal rent 2) Incisional hernia,No,,,BAR,101.2,84,80,1,2,,,>800,9.88,14.00,41.50,42.00,14.20,33.70,18.60,,Slight,Few,,,,,,,,,9730.00,,,,7696.00,,1917.00,88.00,10.00,19.00,143.00,,,6.40,100.00,0.1301,164.00,1.80,5.1
3405CM,685954,22,Septic,Daenerys Colt 2015,6-Jun-15,8-Jun-15,2.00,EUTH,Non-Survivor,EQ-HOLSTEINER,M,,38.5,1) Sepsis with meningitis.,No,No,324,"Dull, right lateral recumbency",100.9,108,52,2-3s,1,1,GRAM (-) RODS. CULTURE: KLEBSIELLA PNEUMONIAE(BY MALDI-TOF) AND E. COLI(BY MALDI-TOF) FROM ENRICHMENT BROTH,<400,10.15,15.00,38.80,38.20,14.80,38.70,18.60,,Slight,Many,,,,,,,,,820.00,,,,947.00,,310.00,38.00,9.00,,191.00,,,5.90,200.00,0.0974,171.00,16.00,5.1
4012CQ,688537,4,SNS,Foal Of Sosofast 4/24/16,24-Apr-16,28-Apr-16,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,59,8,"1) Hypoxic ischemic encephalopathy. 2) Azotemia (presumptive placental insufficiency). 3) Meconium impaction, resolved. 4) Patent urachus, resolved. 5) Corneal ulcerations, OD, resolved.",No,No,,BAR,101.1,116,40,1,1,2,No Growth,>800,9.67,12.50,34.30,35.50,12.90,36.40,19.00,,Slight,,,,,,,,,,10730.00,,,,9507.00,,1148.00,43.00,11.00,21.00,140.00,,,5.40,200.00,0.1357,89.00,3.60,5.3
3160CN,686556,32,Septic,Cuape,17-Aug-15,17-Aug-15,0.00,EUTH,Non-Survivor,EQ-FRIESIAN,M,,24,"Septicemia, bronchointerstitial pneumonia, septic arthritis",Yes,,,QAR,,240,120,4,2,,,<400,10.99,17.60,52.10,47.40,16.00,33.80,19.10,,Slight,,,,,,,,,,3640.00,,1056.00,MODERATE TOXICITY,1420.00,SLIGHT TOXICITY,1092.00,73.00,,,197.00,,,10.10,400.00,0.0970,193.00,8.90,6
5350DH,699898,16,Septic,Rachelle 2020 Filly,23-Jan-20,25-Jan-20,2.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,F,,1,"1) Premature foal, unready for birth, delivered via terminal C section (inverted neutrophil: lymphocyte ratio) 2) Sepsis with pneumonia",Yes,No,330,QAR,98.1,108,40,2,2,,,,9.12,11.80,35.90,39.40,12.90,32.90,19.80,,Slight,,,,,,,,,Few,3610.00,,,,1126.00,,2433.00,11.00,36.00,4.00,184.00,No,,4.80,200.00,0.1076,60.00,7.20,6.1
6231CL,685509,15,Septic,Bootleg Annie Filly '15,14-Apr-15,22-Apr-15,8.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,55,26,1) Enteritis - presumed C. perfringens,No,No,,BARH,100.1,120,68,<1 to 1,1,2,NO GROWTH,>800,6.92,11.60,29.20,42.20,16.80,39.70,17.50,,Slight,,,,,,,,,,3400.00,,782.00,"SLIGHT TOXIC, FEW MODERATE",1938.00,SLIGHT TOXIC,510.00,170.00,0.00,0.00,232.00,,,5.00,300.00,0.0754,238.00,2.40,6.2
6243CK,684671,12,Septic,Ivy (Rage '15 Filly),27-Jan-15,8-Feb-15,12.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,35.2,5,1) Neonatal Maladjustment Syndrome 2) Sepsis,Yes,No,338,BAR,99.6,72,24,1,2,,,800,7.88,12.40,33.70,42.80,15.70,36.80,18.40,,Slight,,,,,,,,,,5430.00,,,,3540.00,,1727.00,141.00,16.00,5.00,293.00,,,5.00,200.00,0.0628,64.00,,6.4
4321DI,838471,26,Septic,Foal Of Jebra,25-Apr-20,25-Apr-20,0.00,EUTH,Non-Survivor,EQ-THOROUGHBRED-ANDALUSION,M,60,48,"1) Nutritional myodegeneration, presumptive 2) Enterocolitis, presumptive - etiology: open (ddx: Clostridium difficile, Salmonella spp, Cryptosporidium spp, Equine Rotavirus, Clostridium perfringens) 3) Aspiration pneumonia, presumptive (likely secondary to 1) 4) Azotemia, acute kidney injury vs renal failure +/- pre- and/or post-renal - etiology: open (ddx: pigmenturic nephropathy, renal dysgenesis, type III hypersensitivity reaction, vasomotor nephropathy, ruptured bladder, placental insufficiency, dehydration/hypoperfusion) 5) Systemic inflammatory response syndrome (suspect sepsis) 6) Multiple organ dysfunction syndrome - gastrointestinal, renal, pulmonary, muscle (secondary to 1, 2, 3, and 5)",No,,,Obtunded,102.7,220,60,3,2,,,<400,8.91,12.10,35.40,39.70,13.60,34.20,18.50,,Slight,,,Moderate,,,,,,,6960.00,,1044.00,"MODERATE TOXICITY, FEW MARKED",3898.00,"MODERATE TOXICITY, FEW MARKED",1810.00,209.00,0.00,0.00,155.00,No,,7.00,500.00,0.1194,142.00,14.70,7.1
7770CQ,689366,26,Septic,Smart Johny Chex 2016 Colt,20-May-16,20-May-16,0.00,EUTH,Non-Survivor,EQ-QUARTER HORSE,M,50,14,1) Septic shock.,,,,QAR,94.6,100,64,,2,,,,6.12,10.50,35.20,57.50,17.20,29.80,23.30,,Slight,,,,,Slight,Few,,,,1060.00,,191.00,Moderate Toxic,286.00,Slight Toxicity,572.00,11.00,,,332.00,,,5.40,400.00,0.0702,17.00,25.00,7.1
68737EM,682515,20,Septic,Strider's 2014 Colt,4-Jun-14,5-Jun-14,1.00,EUTH,Non-Survivor,EQ-STANDARDBRED,M,54.4,64,1) Sepsis (positive blood culture): Resistant Enterococcus and E. coli 2) Uroperitoneum (urachal) 3) Gastritis and ulcers: marked with secondary hematoma formation 4) Failure of passive transfer 5) Dysmaturity/Maladjustment syndrome 6) Suspect aspiration pneumonia 7) Atlanto occipital ankylosis,,,,Dull to obtunded,103.9,132,128,delayed,1,1,DIRECT SMEAR: LARGE NUMBERS GRAM (+) COCCI AND GRAM (-) RODS. CULTURE: E. COLI AND ENTEROCOCCUS FAECIUM (ID's BY MALDI-TOF).,,7.44,11.00,32.00,43.00,14.80,34.40,18.10,,Slight,Few,,,,,,,,,7350.00,,2646.00,MODERATE TOXIC,2426.00,SLIGHT TOXIC,882.00,1397.00,0.00,0.00,287.00,,,5.40,500.00,0.0631,171.00,2.70,7.2
454DN,842909,7,SNS,Sassy Lena Rey's Foal,19-May-21,21-May-21,2.00,EUTH,Non-Survivor,EQ-QUARTER HORSE,M,46.2,48,"1) Renal Dysplasia and secondary renal failure 2) Neonatal maladjustment syndrome (Hypoxic ischemic encephalopathy), mild",No,,,BAR,101.7,120,32,2,2,,,,8.10,11.00,29.00,35.80,13.60,38.00,19.10,,Slight,Rare,Rare,Rare,Few Ovalocytes,,,,,,72720.00,,291.00,SLIGHT TOXICITY,6107.00,,364.00,509.00,0.00,0.00,191.00,No,,4.50,100.00,0.1000,113.00,1.30,9.6
978DE,698564,8,SNS,Bubbles (Champagne N Boonlite) Foal 2019,1-May-19,6-May-19,5.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,50.6,72,1) Acute Kidney Injury (suspect Neonatal Vasomotor Nephropathy),No,No,354,BAR,101.2,100,50,2,2,,,800,8.90,13.20,36.80,41.30,14.80,35.90,17.80,,Slight,Moderate,Rare,Rare,,,,,,,4720.00,,,,3823.00,,831.00,38.00,5.00,19.00,178.00,,,4.60,300.00,0.1000,104.00,1.10,9.9
68240EM,681941,10,SNS,Bessy Et,23-Mar-14,31-Mar-14,8.00,ALIVE,Survivor,EQ-MIX/DRAFT/AMERICAN PAINT HORSE,M,51,0,1) Suspect septic foal 2) Systolic murmur 3) Entropion 4) Severe dehydration 5) Failure of passive transfer,Yes,No,322,BAR,100.7,78,36,3,1,2,NO GROWTH,>800,8.84,13.60,41.00,46.40,15.40,33.20,17.30,RARE,Slight,,,,,,,,,,7410.00,,,,6521.00,,645.00,200.00,37.00,7.00,199.00,,,5.30,300.00,0.0869,62.00,5.20,13.2
1436DM,841815,19,Septic,Hippy's Foal,16-Mar-21,23-Mar-21,7.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,42.8,6,"1) Hypoglycemic, Hypothermic, Hypotensive and Hypoxic shock 2) Hypoxic Ischemic Encephalopathy 3) Sepsis 4) Bilateral Superficial Corneal Ulcers",,No,338,Stuporous / seizure,,41,16,4,2,,,<800,10.28,13.80,37.70,36.70,13.40,36.60,19.60,,Slight,,Rare,,,,,,,,4530.00,,272.00,"SLIGHT TOXICITY, RARE MODERATE TOXICITY",1903.00,RARE SLIGHT TOXICITY,2084.00,227.00,45.00,,149.00,No,,5.20,200.00,0.1315,29.00,6.40,17.1
3839CQ,688511,16,Septic,Glowy's Foal 2016,21-Apr-16,24-Apr-16,3.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,4,1) Hypoxic-ischemic encephalopathy 2) Meconium retention,Yes,,,Obtunded,98.8,120,60,3,1,2,No Growth,>800,9.35,12.60,35.90,38.40,13.50,35.10,18.20,,Slight,,,,,,,,,,4810.00,,144.00,,3319.00,,1299.00,48.00,,,192.00,,,4.80,300.00,0.0948,83.00,8.20,17.2
